"term","estimate","std.error","statistic","p.value","log2fc","colind","labtext","patient","t6820.ind","direction","patnum","protval","nudgeval","patval","sizeval","pointlab"
"g__unclassified-f__Neisseriaceae",3486.22207908329,501777.380046888,0.0069477465858615,0.994456544864995,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Proteobacteria",0.15,2.15,"c",NA
"g__unclassified-f__Ruminococcaceae",-8.01172619243486,60.1541865927086,-0.133186510303606,0.894045879017819,-0.166864375707583,NA,NA,"T6821",FALSE,"Lean",2,"Not Proteobacteria",0.1,1.9,"a",NA
"g__unclassified-o__Oligoflexales",-1640.85959867873,236171.480681555,-0.00694774658626628,0.994456544864672,-Inf,NA,NA,"T6821",FALSE,"Lean",2,"Proteobacteria",0.15,1.85,"c",NA
"g__unclassified-o__Rhizobiales",-7874.53621971574,1133394.27711443,-0.0069477465862665,0.994456544864672,-Inf,NA,NA,"T6821",FALSE,"Lean",2,"Proteobacteria",0.15,1.85,"c",NA
"g__unclassified-o__Sphingomonadales",1972.61155258536,283921.056735803,0.0069477465858439,0.994456544865009,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Proteobacteria",0.15,2.15,"c",NA
"g__Vagococcus",-1958.38031363664,298939.337714666,-0.00655109604713812,0.99477301899528,-Inf,NA,NA,"T6821",FALSE,"Lean",2,"Not Proteobacteria",0.1,1.9,"c",NA
"s__*Cardinium-endosymbiont",1452.40650096102,209047.132478826,0.00694774658584773,0.994456544865006,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"c",NA
"s__Achromobacter-xylosoxidans",1982.25436611797,285308.961923271,0.00694774658586106,0.994456544864996,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Proteobacteria",0.15,2.15,"c",NA
"s__Acidovorax-defluvii-radicis",2472.1249067848,355816.792683482,0.00694774658649651,0.994456544864489,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Proteobacteria",0.15,2.15,"c",NA
"s__Acidovorax-temperans",3.23341078412167,28.1410141968152,0.114900293269729,0.908524152639599,0.0721602487849804,NA,NA,"T6821",FALSE,"Obese",2,"Proteobacteria",0.15,2.15,"a",NA
"s__Acinetobacter-bereziniae-bouvetii",-24.4530014202752,81.7745731236217,-0.299029398579785,0.764917614414842,-0.293356416094805,NA,NA,"T6821",FALSE,"Lean",2,"Proteobacteria",0.15,1.85,"a",NA
"s__Acinetobacter-bouvetii-johnsonii",9215.75926779844,1769134.9579151,0.00520918951183864,0.995843686911596,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Proteobacteria",0.15,2.15,"c",NA
"s__Acinetobacter-guillouiae",-107.734294560181,176.401130204925,-0.610734718281144,0.541375217696374,-1.55225173689451,NA,NA,"T6821",FALSE,"Lean",2,"Proteobacteria",0.15,1.85,"b",NA
"s__Acinetobacter-johnsonii",3602.14348201017,736205.992866188,0.00489284726953437,0.996096088281856,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Proteobacteria",0.15,2.15,"c",NA
"s__Acinetobacter-johnsonii-lwoffii",4266.19040863567,614039.437949442,0.00694774658592358,0.994456544864946,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Proteobacteria",0.15,2.15,"c",NA
"s__Acinetobacter-johnsonii-schindleri",20908.6535374851,4303609.32514548,0.00485839953346096,0.996123573271938,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Proteobacteria",0.15,2.15,"c",NA
"s__Acinetobacter-lwoffii",-4138.54473494774,865606.38183252,-0.00478109314095663,0.996185254132527,-Inf,NA,NA,"T6821",FALSE,"Lean",2,"Proteobacteria",0.15,1.85,"c",NA
"s__Acinetobacter-radioresistens",39.3303248606154,118.818175441611,0.331012698305091,0.74063489388627,0.497526381497193,NA,NA,"T6821",FALSE,"Obese",2,"Proteobacteria",0.15,2.15,"a",NA
"s__Acinetobacter-schindleri",-7029.25431610257,1011731.5346527,-0.00694774658626757,0.994456544864671,-Inf,NA,NA,"T6821",FALSE,"Lean",2,"Proteobacteria",0.15,1.85,"c",NA
"s__Aeromonas-media-tecta",3067.97039721375,441577.763318595,0.00694774658523787,0.994456544865493,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Proteobacteria",0.15,2.15,"c",NA
"s__Afipia-clevelandensis",7488.15754571754,1077782.19213628,0.00694774658586183,0.994456544864995,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Proteobacteria",0.15,2.15,"c",NA
"s__Agrobacterium-Rhizobium-radiobacter-tumefaciens",-31.3353186853743,85.5640234306649,-0.366220724891066,0.714200378585836,-0.367198426873786,NA,NA,"T6821",FALSE,"Lean",2,"Proteobacteria",0.15,1.85,"a",NA
"s__Akkermansia-muciniphila",8.47534136178906,11.128670253066,0.761577184790253,0.446312396035756,1.09532029507405,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"b",NA
"s__Alistipes-finegoldii",1593.07110195917,229293.207842216,0.00694774658591463,0.994456544864953,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"c",NA
"s__Alistipes-putredinis",1208.95885741031,174007.333539864,0.00694774658525153,0.994456544865482,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"c",NA
"s__Anaerobacillus-macyae",2443.73157304488,351730.095915948,0.00694774658586183,0.994456544864995,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"c",NA
"s__Anaerofustis-stercorihominis",2821.8075572856,406147.161877389,0.00694774658584829,0.994456544865006,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"c",NA
"s__Aquabacterium-Chlorochromatium-sp48831-sp48870",-1213.76012965733,174698.388115711,-0.0069477465862673,0.994456544864672,-Inf,NA,NA,"T6821",FALSE,"Lean",2,"Proteobacteria",0.15,1.85,"c",NA
"s__Aquabacterium-fontiphilum",91.4822494851484,121.491267511464,0.752994444448577,0.45145325246146,1.94834516208659,NA,NA,"T6821",FALSE,"Obese",2,"Proteobacteria",0.15,2.15,"b",NA
"s__Atopobium-rimae",-4575.74401956453,658593.971836747,-0.00694774658626661,0.994456544864672,-Inf,NA,NA,"T6821",FALSE,"Lean",2,"Not Proteobacteria",0.1,1.9,"c",NA
"s__Bacteroides-cellulosilyticus",-73.3887546049347,281.330251833777,-0.260863359438132,0.79419788166569,-0.52226537465868,NA,NA,"T6821",FALSE,"Lean",2,"Not Proteobacteria",0.1,1.9,"a",NA
"s__Bacteroides-dorei",-369.175009765241,53135.934821657,-0.00694774658626639,0.994456544864672,-Inf,NA,NA,"T6821",FALSE,"Lean",2,"Not Proteobacteria",0.1,1.9,"c",NA
"s__Bacteroides-faecis",-704.906724890358,101458.324096579,-0.00694774658626683,0.994456544864672,-Inf,NA,NA,"T6821",FALSE,"Lean",2,"Not Proteobacteria",0.1,1.9,"c",NA
"s__Bacteroides-fragilis",32.4565400172905,44.9154549312582,0.722614077202698,0.469917017158422,1.0278056279699,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"b",NA
"s__Bacteroides-ovatus-sp12288-thetaiotaomicron",-1411.05448274706,203095.272003191,-0.00694774658626661,0.994456544864672,-Inf,NA,NA,"T6821",FALSE,"Lean",2,"Not Proteobacteria",0.1,1.9,"c",NA
"s__Bacteroides-sp12288-thetaiotaomicron",3366.48607789713,525841.939554507,0.0064020874423771,0.994891908166833,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"c",NA
"s__Bacteroides-uniformis",1981.9309772429,285262.416058474,0.00694774658585462,0.994456544865001,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"c",NA
"s__Bacteroides-vulgatus",-107.878207174137,204.444735224451,-0.527664393292895,0.597732290919139,-1.21602234244871,NA,NA,"T6821",FALSE,"Lean",2,"Not Proteobacteria",0.1,1.9,"b",NA
"s__Barnesiella-intestinihominis",-86.8553561913707,126.919443503605,-0.684334517972446,0.493763954964682,-2.07285100961604,NA,NA,"T6821",FALSE,"Lean",2,"Not Proteobacteria",0.1,1.9,"c",NA
"s__Blastocatella-sp3012",9832.23570741702,1415169.0171666,0.00694774658584795,0.994456544865006,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"c",NA
"s__Blastocatella-sp3046",-3909.65339609917,562722.509745445,-0.00694774658626639,0.994456544864672,-Inf,NA,NA,"T6821",FALSE,"Lean",2,"Not Proteobacteria",0.1,1.9,"c",NA
"s__Blastococcus-aggregatus",2802.95360920582,403433.48369297,0.00694774658649551,0.99445654486449,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"c",NA
"s__Blautia-hydrogenotrophica",-1964.40918186353,282740.476710327,-0.0069477465862665,0.994456544864672,-Inf,NA,NA,"T6821",FALSE,"Lean",2,"Not Proteobacteria",0.1,1.9,"c",NA
"s__Brachybacterium-ginsengisoli",-4964.25139490534,714512.44418128,-0.00694774658626639,0.994456544864672,-Inf,NA,NA,"T6821",FALSE,"Lean",2,"Not Proteobacteria",0.1,1.9,"c",NA
"s__Bradyrhizobium-canariense-lupini",-4196.2248492164,603969.185852423,-0.00694774658626661,0.994456544864672,-Inf,NA,NA,"T6821",FALSE,"Lean",2,"Proteobacteria",0.15,1.85,"c",NA
"s__Bradyrhizobium-sp43375",39.9812727765029,114.956655962626,0.347794326841774,0.727994650532131,0.717144902273667,NA,NA,"T6821",FALSE,"Obese",2,"Proteobacteria",0.15,2.15,"a",NA
"s__Brevibacterium-senegalense",-996.83762949906,143476.394413911,-0.00694774658626639,0.994456544864672,-Inf,NA,NA,"T6821",FALSE,"Lean",2,"Not Proteobacteria",0.1,1.9,"c",NA
"s__Brevundimonas-nasdae-vesicularis",-15.5391456619374,58.6825860650683,-0.264799946694703,0.791163577959725,-0.194942263172325,NA,NA,"T6821",FALSE,"Lean",2,"Proteobacteria",0.15,1.85,"a",NA
"s__Capnocytophaga-gingivalis",2443.73157304488,351730.095915948,0.00694774658586183,0.994456544864995,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"c",NA
"s__Caulobacter-crescentus-segnis-vibrioides",127.933659925737,109.256782973325,1.17094478204591,0.241620973074847,1.83750701149968,NA,NA,"T6821",FALSE,"Obese",2,"Proteobacteria",0.15,2.15,"b",NA
"s__Chroococcidiopsis-sp23067",5964.57900734105,858491.157330921,0.00694774658586483,0.994456544864993,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"c",NA
"s__Chroococcidiopsis-sp23078",1621.77184320712,233424.150306775,0.00694774658524287,0.994456544865489,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"c",NA
"s__Comamonas-testosteroni",2837.13063081757,408352.635780361,0.00694774658524198,0.99445654486549,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Proteobacteria",0.15,2.15,"c",NA
"s__Comamonas-testosteroni-thiooxydans",6.71895838957775,114.167609240946,0.0588517043866414,0.953070225648346,0.114097275587969,NA,NA,"T6821",FALSE,"Obese",2,"Proteobacteria",0.15,2.15,"a",NA
"s__Corynebacterium-falsenii",1567.17868864775,225566.472421051,0.00694774658585961,0.994456544864997,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"c",NA
"s__Dechloromonas-agitata",167.257175943859,93.699538139573,1.78503735733165,0.0742552575951704,1.69883688689881,NA,NA,"T6821",FALSE,"Obese",2,"Proteobacteria",0.15,2.15,"b",NA
"s__Deinococcus-aerius",3141.1089126912,452104.703900155,0.00694774658523548,0.994456544865495,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"c",NA
"s__Delftia-acidovorans",1707.24213741693,336011.04853758,0.00508091071661885,0.995946037227016,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Proteobacteria",0.15,2.15,"c",NA
"s__Delftia-lacustris-tsuruhatensis",-7050.18241566859,1014743.74865727,-0.00694774658626628,0.994456544864672,-Inf,NA,NA,"T6821",FALSE,"Lean",2,"Proteobacteria",0.15,1.85,"c",NA
"s__Enhydrobacter-Moraxella-aerosaccus-osloensis",-146.002461434702,340.962564791238,-0.428206719773168,0.668500624385628,-0.680135893279182,NA,NA,"T6821",FALSE,"Lean",2,"Proteobacteria",0.15,1.85,"a",NA
"s__Enterobacter-aerogenes",8795.1049554287,1265893.17079227,0.00694774658585462,0.994456544865001,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Proteobacteria",0.15,2.15,"c",NA
"s__Enterobacter-ludwigii",1217.7837630594,175277.515955909,0.00694774658585262,0.994456544865002,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Proteobacteria",0.15,2.15,"c",NA
"s__Enterococcus-canintestini",-1063.00886400543,153000.52337928,-0.00694774658626683,0.994456544864672,-Inf,NA,NA,"T6821",FALSE,"Lean",2,"Not Proteobacteria",0.1,1.9,"c",NA
"s__Enterococcus-faecalis",7067.49505346114,1017235.5836625,0.00694774658591374,0.994456544864954,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"c",NA
"s__Enterococcus-faecium",1499.16561742119,215777.245043732,0.00694774658522194,0.994456544865506,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"c",NA
"s__Enterococcus-gallinarum-saccharolyticus",-6198.7111094284,892190.155824262,-0.00694774658626628,0.994456544864672,-Inf,NA,NA,"T6821",FALSE,"Lean",2,"Not Proteobacteria",0.1,1.9,"c",NA
"s__Erysipelatoclostridium-sp36616-sp36629",2968.2221003485,427220.835366426,0.00694774658591419,0.994456544864953,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"c",NA
"s__Escherichia-coli",-106.333133217206,118.880949647904,-0.894450570357473,0.371080865484236,-1.78652453074339,NA,NA,"T6821",FALSE,"Lean",2,"Proteobacteria",0.15,1.85,"b",NA
"s__Finegoldia-magna",-2822.10896549412,406190.544006383,-0.00694774658626661,0.994456544864672,-Inf,NA,NA,"T6821",FALSE,"Lean",2,"Not Proteobacteria",0.1,1.9,"c",NA
"s__Flavobacterium-sp16979",2677.47981046687,385373.84422137,0.00694774658585506,0.994456544865,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"c",NA
"s__Flavonifractor-plautii",-2313.18618551046,485446.594765052,-0.00476506831123205,0.996198039951108,-Inf,NA,NA,"T6821",FALSE,"Lean",2,"Not Proteobacteria",0.1,1.9,"c",NA
"s__Fusicatenibacter-saccharivorans",-1620.11767632789,233186.063454078,-0.00694774658626606,0.994456544864673,-Inf,NA,NA,"T6821",FALSE,"Lean",2,"Not Proteobacteria",0.1,1.9,"c",NA
"s__Gemmobacter-nectariphilus",-886.591754646382,127608.533736524,-0.00694774658626628,0.994456544864672,-Inf,NA,NA,"T6821",FALSE,"Lean",2,"Proteobacteria",0.15,1.85,"c",NA
"s__Jeotgalicoccus-halophilus-halotolerans-nanhaiensis",4930.7095554973,709684.714973923,0.00694774658586028,0.994456544864996,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"c",NA
"s__Kocuria-atrinae-carniphila-gwangalliensis",1026.16505565845,147697.536599917,0.00694774658590364,0.994456544864962,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"c",NA
"s__Lachnoclostridium-sp32387",1459.2899441103,210037.877202621,0.00694774658526252,0.994456544865473,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"c",NA
"s__Lachnoclostridium-sp32433",-1601.37141771142,230487.885219777,-0.00694774658626617,0.994456544864672,-Inf,NA,NA,"T6821",FALSE,"Lean",2,"Not Proteobacteria",0.1,1.9,"c",NA
"s__Lachnoclostridium-sp32444",-724.758805340808,104315.664991787,-0.0069477465862665,0.994456544864672,-Inf,NA,NA,"T6821",FALSE,"Lean",2,"Not Proteobacteria",0.1,1.9,"c",NA
"s__Lactobacillus-johnsonii",1581.01842692212,227558.44753177,0.0069477465858585,0.994456544864998,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"c",NA
"s__Lactococcus-lactis",1694.98810706253,243962.281333747,0.00694774658523437,0.994456544865496,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"c",NA
"s__Marvinbryantia-sp32979-sp32983",1774.79696409956,255449.294554062,0.00694774658586483,0.994456544864993,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"c",NA
"s__Marvinbryantia-sp32983",1132.02271398295,162933.794430366,0.00694774658591008,0.994456544864957,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"c",NA
"s__Marvinbryantia-sp32989",-4823.80902124696,694298.354344397,-0.00694774658626683,0.994456544864672,-Inf,NA,NA,"T6821",FALSE,"Lean",2,"Not Proteobacteria",0.1,1.9,"c",NA
"s__Massilia-aurea-timonae",-1225.65425010796,176410.327419079,-0.00694774658626594,0.994456544864673,-Inf,NA,NA,"T6821",FALSE,"Lean",2,"Proteobacteria",0.15,1.85,"c",NA
"s__Massilia-consociata",-3233.45698540718,465396.505940307,-0.00694774658626662,0.994456544864672,-Inf,NA,NA,"T6821",FALSE,"Lean",2,"Proteobacteria",0.15,1.85,"c",NA
"s__Massilia-haematophila-timonae",2612.40741250336,376007.872512327,0.00694774658585828,0.994456544864998,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Proteobacteria",0.15,2.15,"c",NA
"s__Mesorhizobium-amorphae",1378.75066693672,195158.409217584,0.00706477713394119,0.994363170289393,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Proteobacteria",0.15,2.15,"c",NA
"s__Methylobacterium-organophilum",-1353.84957128433,194861.679894955,-0.0069477465862665,0.994456544864672,-Inf,NA,NA,"T6821",FALSE,"Lean",2,"Proteobacteria",0.15,1.85,"c",NA
"s__Methylobacterium-sp43873",2181.15454168008,313936.974345502,0.00694774658584695,0.994456544865007,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Proteobacteria",0.15,2.15,"c",NA
"s__Methyloversatilis-universalis",6007.87002230504,864722.100621865,0.00694774658585051,0.994456544865004,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Proteobacteria",0.15,2.15,"c",NA
"s__Micrococcus-aloeverae",-1487.46193747934,214092.716107333,-0.00694774658626694,0.994456544864672,-Inf,NA,NA,"T6821",FALSE,"Lean",2,"Not Proteobacteria",0.1,1.9,"c",NA
"s__Mycobacterium-mucogenicum-phocaicum",-1064.42230388429,153203.961985068,-0.00694774658626672,0.994456544864672,-Inf,NA,NA,"T6821",FALSE,"Lean",2,"Not Proteobacteria",0.1,1.9,"c",NA
"s__Noviherbaspirillum-sp49445",14.8896460637295,42.9865937641687,0.346378830232897,0.729058032598254,0.106906949585202,NA,NA,"T6821",FALSE,"Obese",2,"Proteobacteria",0.15,2.15,"a",NA
"s__Odoribacter-sp13171",-2013.76619648323,289844.508788477,-0.0069477465862665,0.994456544864672,-Inf,NA,NA,"T6821",FALSE,"Lean",2,"Not Proteobacteria",0.1,1.9,"c",NA
"s__Parabacteroides-distasonis",-228.354847070304,226.000895364859,-1.01041567424609,0.31229618140326,-1.56984536468001,NA,NA,"T6821",FALSE,"Lean",2,"Not Proteobacteria",0.1,1.9,"b",NA
"s__Patulibacter-sp11024-sp11044-sp11076",2069.94435945627,297930.319403568,0.0069477465858464,0.994456544865007,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"c",NA
"s__Paucibacter-sp49066",2169.50861916428,312260.758556238,0.00694774658588282,0.994456544864978,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Proteobacteria",0.15,2.15,"c",NA
"s__Pelomonas-saccharophila",377.652166947007,431.81049768513,0.874578475909091,0.381803303472165,1.51545543656239,NA,NA,"T6821",FALSE,"Obese",2,"Proteobacteria",0.15,2.15,"b",NA
"s__Phascolarctobacterium-sp36826-sp36829",2334.98361651384,336077.832987697,0.00694774658523615,0.994456544865494,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"c",NA
"s__Phyllobacterium-brassicacearum-myrsinacearum",-1.72933319534301,8.72666162303235,-0.198166638062231,0.842914688808608,-0.0956784305412126,NA,NA,"T6821",FALSE,"Lean",2,"Proteobacteria",0.15,1.85,"a",NA
"s__Pinus-sp46807",-1418.18288833642,204121.274535136,-0.00694774658626923,0.99445654486467,-Inf,NA,NA,"T6821",FALSE,"Lean",2,"Proteobacteria",0.15,1.85,"c",NA
"s__Pinus-wallichiana",-308.065642664575,44340.3683250965,-0.00694774658626844,0.994456544864671,-Inf,NA,NA,"T6821",FALSE,"Lean",2,"Not Proteobacteria",0.1,1.9,"c",NA
"s__Pleurocapsa-minor",835.256809948039,120219.815105353,0.0069477465858359,0.994456544865016,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"c",NA
"s__Porphyromonas-endodontalis",-2845.42065082167,409545.831226223,-0.0069477465862665,0.994456544864672,-Inf,NA,NA,"T6821",FALSE,"Lean",2,"Not Proteobacteria",0.1,1.9,"c",NA
"s__Prevotella-melaninogenica",-33582.9264529578,4833642.97128263,-0.00694774658626606,0.994456544864673,-Inf,NA,NA,"T6821",FALSE,"Lean",2,"Not Proteobacteria",0.1,1.9,"c",NA
"s__Propionibacterium-acnes",-12.1551718327995,104.497535287329,-0.116320177307315,0.907398794978812,-0.183312944810758,NA,NA,"T6821",FALSE,"Lean",2,"Not Proteobacteria",0.1,1.9,"a",NA
"s__Propioniferax-sp7805",1880.18870781125,270618.492568344,0.00694774658585617,0.994456544865,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"c",NA
"s__Providencia-alcalifaciens-rettgeri-rustigianii",-8910.65940652045,1282525.10305058,-0.00694774658626628,0.994456544864672,-Inf,NA,NA,"T6821",FALSE,"Lean",2,"Proteobacteria",0.15,1.85,"c",NA
"s__Providencia-rettgeri-vermicola",-5840.29575871216,840602.875507415,-0.00694774658626617,0.994456544864672,-Inf,NA,NA,"T6821",FALSE,"Lean",2,"Proteobacteria",0.15,1.85,"c",NA
"s__Pseudomonas-aeruginosa",-54.0587238214201,63.4801491696778,-0.851584700548277,0.394444634126719,-1.60801018742754,NA,NA,"T6821",FALSE,"Lean",2,"Proteobacteria",0.15,1.85,"b",NA
"s__Pseudomonas-azotoformans-fluorescens-synxantha",-123.560275090042,128.299983660364,-0.963057605814907,0.335518615223497,-1.40133778187888,NA,NA,"T6821",FALSE,"Lean",2,"Proteobacteria",0.15,1.85,"b",NA
"s__Pseudomonas-benzenivorans-putida",197.100271789212,271.28576022246,0.726541163191113,0.467507082461636,1.74114834390408,NA,NA,"T6821",FALSE,"Obese",2,"Proteobacteria",0.15,2.15,"b",NA
"s__Pseudomonas-brenneri-fluorescens-proteolytica",-9.70257532722639,369.468358393119,-0.026260910053095,0.979049233408714,-0.0508464565491566,NA,NA,"T6821",FALSE,"Lean",2,"Proteobacteria",0.15,1.85,"a",NA
"s__Pseudomonas-composti",9237.30534611113,1329539.76256405,0.00694774658585373,0.994456544865002,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Proteobacteria",0.15,2.15,"c",NA
"s__Pseudomonas-fluorescens-gessardii-libanensis",-6194.93901213891,891647.231979352,-0.00694774658626695,0.994456544864672,-Inf,NA,NA,"T6821",FALSE,"Lean",2,"Proteobacteria",0.15,1.85,"c",NA
"s__Pseudomonas-hunanensis-plecoglossicida-putida",1010.59171056011,145456.04076929,0.00694774658525886,0.994456544865476,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Proteobacteria",0.15,2.15,"c",NA
"s__Pseudomonas-japonica-putida",3999.6093716491,575670.013663006,0.00694774658523459,0.994456544865496,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Proteobacteria",0.15,2.15,"c",NA
"s__Pseudomonas-psychrophila",-13.4052652001757,180.548590633037,-0.0742474098145786,0.940813522349261,-0.0908548198921924,NA,NA,"T6821",FALSE,"Lean",2,"Proteobacteria",0.15,1.85,"a",NA
"s__Pseudomonas-sp63680",104877.180879081,15095136.183068,0.00694774658586516,0.994456544864992,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Proteobacteria",0.15,2.15,"c",NA
"s__Pseudomonas-stutzeri",352.33238593282,174.166534511832,2.022962602548,0.043077003341232,4.08535397437215,"s","s__Pseudomonas-stutzeri","T6821",TRUE,"Obese",2,"Proteobacteria",0.15,2.15,"c","Pseudomonas stutzeri"
"s__Pseudoxanthomonas-mexicana",-177.819882323833,191.654823225318,-0.927813239089634,0.353504455378347,-1.32985500245332,NA,NA,"T6821",FALSE,"Lean",2,"Proteobacteria",0.15,1.85,"b",NA
"s__Psychrobacter-alimentarius-aquaticus-vallis",-41.4061842040336,100.421352567809,-0.412324502162768,0.680101591838276,-0.656288755413252,NA,NA,"T6821",FALSE,"Lean",2,"Proteobacteria",0.15,1.85,"a",NA
"s__Quadrisphaera-sp6218",1308.3627206581,188314.686583162,0.00694774658523681,0.994456544865494,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"c",NA
"s__Rahnella-aquatilis",-5391.31596492302,775980.513679049,-0.00694774658626661,0.994456544864672,-Inf,NA,NA,"T6821",FALSE,"Lean",2,"Proteobacteria",0.15,1.85,"c",NA
"s__Ralstonia-pickettii",-4.87802843516737,4.78310146928361,-1.01984632073841,0.307801350984482,-0.39566358297029,NA,NA,"T6821",FALSE,"Lean",2,"Proteobacteria",0.15,1.85,"a",NA
"s__Rheinheimera-soli",6773.20783029915,974878.364748573,0.00694774658584818,0.994456544865006,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Proteobacteria",0.15,2.15,"c",NA
"s__Rhizobium-leguminosarum",-948.408973760654,136505.982477159,-0.00694774658626661,0.994456544864672,-Inf,NA,NA,"T6821",FALSE,"Lean",2,"Proteobacteria",0.15,1.85,"c",NA
"s__Rhodopseudomonas-palustris",-1160.37833333124,167015.062930614,-0.00694774658626639,0.994456544864672,-Inf,NA,NA,"T6821",FALSE,"Lean",2,"Proteobacteria",0.15,1.85,"c",NA
"s__Rhodopseudomonas-palustris-pseudopalustris",-3330.77601311163,479403.785350399,-0.00694774658626683,0.994456544864672,-Inf,NA,NA,"T6821",FALSE,"Lean",2,"Proteobacteria",0.15,1.85,"c",NA
"s__Romboutsia-ilealis",2261.59841711002,325515.386774901,0.00694774658585939,0.994456544864997,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"c",NA
"s__Rubellimicrobium-mesophilum",4112.8306226582,591966.124765153,0.00694774658649573,0.994456544864489,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Proteobacteria",0.15,2.15,"c",NA
"s__Rubellimicrobium-roseum",2492.13103079059,358696.305340872,0.00694774658585428,0.994456544865001,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Proteobacteria",0.15,2.15,"c",NA
"s__Rubellimicrobium-sp45098",1856.23328989586,267170.551913499,0.00694774658584696,0.994456544865007,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Proteobacteria",0.15,2.15,"c",NA
"s__Rubrobacter-sp10743",2243.36215784141,322890.613541697,0.00694774658586261,0.994456544864994,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"c",NA
